framework,samples ,framework contributors ,sample contributors,common contributors,common/framework ,common/sample
Android,android-AutofillFramework,3221,3,0,0,0
Android,android-play-location,3221,15,0,0,0
Android,google-services,3221,42,3,"0,000931387767774","0,071428571428572"
Android,easypermissions,3221,25,0,0,0
Android,android-testing,3221,29,0,0,0
Android,android-Camera2Basic,3221,3,1,"0,000310462589258","0,333333333333333"
Android,android-credentials,3221,7,0,0,0
Android,android-EmojiCompat,3221,1,0,0,0
Android,android-instant-apps,3221,8,4,"0,001241850357032","0,5"
Android,android-nearby,3221,13,2,"0,000620925178516","0,153846153846154"
Android,android-AppUsageStatistics,3221,1,0,0,0
Android,android-custom-lint-rules,3221,8,1,"0,000310462589258","0,125"
Android,android-play-billing,3221,18,1,"0,000310462589258","0,055555555555556"
Android,android-vision,3221,17,0,0,0
Android,android-ads,3221,10,1,"0,000310462589258","0,1"
Android,android-SpeedTracker,3221,3,0,0,0
Android,android-BluetoothLeGatt,3221,2,0,0,0
Android,android-Camera2Raw,3221,1,0,0,0
Android,android-WifiRttScan,3221,1,0,0,0
Android,android-ActionBarCompat-ShareActionProvider,3221,1,0,0,0
Android,android-testdpc,3221,57,45,"0,01397081651661","0,789473684210526"
Android,android-PictureInPicture,3221,1,0,0,0
Android,android-ActivitySceneTransitionBasic,3221,1,0,0,0
Android,android-Camera2Video,3221,3,1,"0,000310462589258","0,333333333333333"
Android,android-Notifications,3221,2,0,0,0
Android,android-BasicAccessibility,3221,2,0,0,0
Android,android-XYZTouristAttractions,3221,1,0,0,0
Android,android-WearVerifyRemoteApp,3221,1,0,0,0
Android,android-WearSpeakerSample,3221,1,0,0,0
Android,android-WearHighBandwidthNetworking,3221,1,0,0,0
Android,android-WearDrawers,3221,1,0,0,0
Android,android-WearComplicationProvidersTestSuite,3221,1,0,0,0
Android,android-WearAccessibilityApp,3221,1,0,0,0
Android,android-WatchFace,3221,1,0,0,0
Android,android-RuntimePermissionsWear,3221,3,1,"0,000310462589258","0,333333333333333"
Android,android-JumpingJack,3221,1,0,0,0
Android,android-DataLayer,3221,1,0,0,0
Android,android-AlwaysOn,3221,1,0,0,0
Android,android-MediaEffects,3221,1,0,0,0
Android,android-DirectBoot,3221,2,0,0,0
Android,leanback-showcase,3221,12,3,"0,000931387767774","0,25"
Android,android-MessagingService,3221,3,0,0,0
Android,androidtv-sample-inputs,3221,16,7,"0,002173238124806","0,4375"
Android,leanback-homescreen-channels,3221,2,0,0,0
Android,android-play-publisher-api,3221,6,0,0,0
Android,androidtv-Leanback,3221,26,2,"0,000620925178516","0,076923076923077"
Android,android-BluetoothChat,3221,1,0,0,0
Android,android-MediaRecorder,3221,6,0,0,0
Android,android-fit,3221,8,1,"0,000310462589258","0,125"
Android,android-DisplayingBitmaps,3221,1,0,0,0
Android,android-testing-templates,3221,5,0,0,0
Android,android-ActivityInstrumentation,3221,1,0,0,0
Android,chromeos-android-draganddrop-demo,3221,2,2,"0,000620925178516",1
Android,android-BasicRenderScript,3221,1,0,0,0
Android,android-TensorFlowCloudMachineLearningEngineStylizer,3221,2,0,0,0
Android,android-CustomChoiceList,3221,1,0,0,0
Android,android-WatchViewStub,3221,1,0,0,0
Android,android-Timer,3221,1,0,0,0
Android,android-TextSwitcher,3221,1,0,0,0
Android,android-TextLinkify,3221,1,0,0,0
Android,android-SynchronizedNotifications,3221,1,0,0,0
Android,android-SwipeRefreshMultipleViews,3221,1,0,0,0
Android,android-SwipeRefreshListFragment,3221,1,0,0,0
Android,android-SwipeRefreshLayoutBasic,3221,1,0,0,0
Android,android-StorageProvider,3221,1,0,0,0
Android,android-StorageClient,3221,1,0,0,0
Android,android-SlidingTabsColors,3221,1,0,0,0
Android,android-SlidingTabsBasic,3221,3,1,"0,000310462589258","0,333333333333333"
Android,android-SkeletonWearableApp,3221,1,0,0,0
Android,android-ShareActionProvider,3221,1,0,0,0
Android,android-ScreenCapture,3221,3,0,0,0
